symbol,instrument_key,open,high,low,close,volume,timestamp
HDFCBANK,NSE_EQ|INE040A01034,637.5,649.5,635.8,644.9,14723922,2022-06-17
HDFCBANK,NSE_EQ|INE040A01034,652.4,662.5,647.1,661.1,15936840,2022-06-20
HDFCBANK,NSE_EQ|INE040A01034,668.4,677.0,662.0,668.3,13220684,2022-06-21
HDFCBANK,NSE_EQ|INE040A01034,666.1,668.5,661.6,665.1,8159698,2022-06-22
HDFCBANK,NSE_EQ|INE040A01034,665.2,674.0,659.2,667.6,15372244,2022-06-23
HDFCBANK,NSE_EQ|INE040A01034,669.3,680.8,669.3,676.9,8013432,2022-06-24
HDFCBANK,NSE_EQ|INE040A01034,685.0,688.0,676.0,678.1,9804164,2022-06-27
HDFCBANK,NSE_EQ|INE040A01034,672.0,675.5,669.2,673.0,9770574,2022-06-28
HDFCBANK,NSE_EQ|INE040A01034,665.6,675.4,665.6,672.0,9994046,2022-06-29
HDFCBANK,NSE_EQ|INE040A01034,668.0,677.0,668.0,674.0,12475822,2022-06-30
HDFCBANK,NSE_EQ|INE040A01034,672.0,680.0,665.0,676.9,11472452,2022-07-01
HDFCBANK,NSE_EQ|INE040A01034,676.8,680.1,671.1,677.8,8487480,2022-07-04
HDFCBANK,NSE_EQ|INE040A01034,682.0,689.7,674.2,676.3,14325718,2022-07-05
HDFCBANK,NSE_EQ|INE040A01034,674.0,686.7,673.6,685.6,15049078,2022-07-06
HDFCBANK,NSE_EQ|INE040A01034,690.0,699.0,687.2,697.9,17743142,2022-07-07
HDFCBANK,NSE_EQ|INE040A01034,705.0,705.0,697.4,698.6,12474030,2022-07-08
HDFCBANK,NSE_EQ|INE040A01034,697.0,705.0,696.6,703.1,7462880,2022-07-11
HDFCBANK,NSE_EQ|INE040A01034,702.6,702.6,694.7,695.9,9876974,2022-07-12
HDFCBANK,NSE_EQ|INE040A01034,695.0,697.1,677.1,678.9,15945610,2022-07-13
HDFCBANK,NSE_EQ|INE040A01034,681.0,686.3,674.6,675.5,10372410,2022-07-14
HDFCBANK,NSE_EQ|INE040A01034,676.5,682.4,673.4,681.0,13595646,2022-07-15
HDFCBANK,NSE_EQ|INE040A01034,674.0,683.0,671.0,673.8,20332220,2022-07-18
HDFCBANK,NSE_EQ|INE040A01034,668.5,679.3,668.5,674.0,15792538,2022-07-19
HDFCBANK,NSE_EQ|INE040A01034,680.0,685.6,677.6,682.5,20347862,2022-07-20
HDFCBANK,NSE_EQ|INE040A01034,680.3,684.8,679.0,680.4,12640278,2022-07-21
HDFCBANK,NSE_EQ|INE040A01034,683.0,698.5,681.2,696.2,12729592,2022-07-22
HDFCBANK,NSE_EQ|INE040A01034,697.5,702.3,691.6,698.3,10143126,2022-07-25
HDFCBANK,NSE_EQ|INE040A01034,698.0,701.0,693.2,696.9,8527964,2022-07-26
HDFCBANK,NSE_EQ|INE040A01034,694.4,703.0,692.1,702.2,9212778,2022-07-27
HDFCBANK,NSE_EQ|INE040A01034,707.5,712.0,705.5,708.4,17420406,2022-07-28
HDFCBANK,NSE_EQ|INE040A01034,719.0,719.3,707.6,717.1,20019736,2022-07-29
HDFCBANK,NSE_EQ|INE040A01034,719.5,724.2,715.0,723.1,13193036,2022-08-01
HDFCBANK,NSE_EQ|INE040A01034,721.0,722.3,711.5,715.1,15036510,2022-08-02
HDFCBANK,NSE_EQ|INE040A01034,712.5,717.9,708.5,716.8,10975498,2022-08-03
HDFCBANK,NSE_EQ|INE040A01034,720.0,723.4,706.5,716.0,12012206,2022-08-04
HDFCBANK,NSE_EQ|INE040A01034,716.5,718.5,710.6,713.5,9268982,2022-08-05
